Transaction_ID,Customer_ID,Date,Item,Category,Quantity,Price,Total_Spend
TXN_01000,CUST_048,2023-07-14 03:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01000,CUST_048,2023-07-14 03:00:00,Smartphone,Electronics,1,17.38,17.38
TXN_01001,CUST_275,2023-03-05 12:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01001,CUST_275,2023-03-05 12:00:00,Smartphone,Electronics,1,17.38,17.38
TXN_01002,CUST_024,2023-12-05 07:00:00,T-Shirt,Clothing,1,48.03,48.03
TXN_01003,,2023-07-14 08:00:00,Sweater,Clothing,1,255.15,255.15
TXN_01003,,2023-07-14 08:00:00,Keyboard,Electronics,1,339.97,339.97
TXN_01004,,2023-12-10 08:00:00,Butter,Groceries,2,8.22,16.44
TXN_01005,,2023-05-06 05:00:00,Chair,Home & Garden,1,173.42,173.42
TXN_01005,,2023-05-06 05:00:00,Plant,Home & Garden,1,403.88,403.88
TXN_01005,,2023-05-06 05:00:00,Banana,Groceries,2,296.69,593.38
TXN_01006,,2023-01-29 07:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01006,,2023-01-29 07:00:00,Jeans,Clothing,1,213.85,213.85
TXN_01006,,2023-01-29 07:00:00,Socks,Clothing,1,18.14,18.14
TXN_01007,,2023-10-18 22:00:00,Laptop,Electronics,1,321.52,321.52
TXN_01007,,2023-10-18 22:00:00,Monitor,Electronics,1,115.49,115.49
TXN_01008,CUST_074,2023-05-16 04:00:00,Mug,Home & Garden,1,171.61,171.61
TXN_01008,CUST_074,2023-05-16 04:00:00,Coffee,Groceries,3,405.67,1217.01
TXN_01009,CUST_113,2023-03-12 16:00:00,Monitor,Electronics,1,115.49,115.49
TXN_01010,CUST_079,2023-11-18 05:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01010,CUST_079,2023-11-18 05:00:00,Butter,Groceries,4,8.22,32.88
TXN_01010,CUST_079,2023-11-18 05:00:00,Socks,Clothing,1,18.14,18.14
TXN_01011,CUST_271,2023-05-09 17:00:00,Lamp,Home & Garden,1,350.58,350.58
TXN_01012,CUST_059,2023-12-16 17:00:00,Milk,Groceries,2,103.42,206.84
TXN_01012,CUST_059,2023-12-16 17:00:00,Monitor,Electronics,1,115.49,115.49
TXN_01012,CUST_059,2023-12-16 17:00:00,Sneakers,Clothing,1,19.75,19.75
TXN_01013,CUST_233,2023-01-02 23:00:00,Apples,Groceries,1,114.12,114.12
TXN_01013,CUST_233,2023-01-02 23:00:00,Keyboard,Electronics,1,339.97,339.97
TXN_01013,CUST_233,2023-01-02 23:00:00,Cushion,Home & Garden,1,478.82,478.82
TXN_01014,CUST_153,2023-11-24 16:00:00,Sweater,Clothing,1,255.15,255.15
TXN_01014,CUST_153,2023-11-24 16:00:00,Cushion,Home & Garden,1,478.82,478.82
TXN_01015,CUST_083,2023-10-04 16:00:00,Sweater,Clothing,1,255.15,255.15
TXN_01015,CUST_083,2023-10-04 16:00:00,Eggs,Groceries,3,274.75,824.25
TXN_01015,CUST_083,2023-10-04 16:00:00,Laptop,Electronics,1,321.52,321.52
TXN_01015,CUST_083,2023-10-04 16:00:00,Monitor,Electronics,1,115.49,115.49
TXN_01015,CUST_083,2023-10-04 16:00:00,Jacket,Clothing,1,113.23,113.23
TXN_01016,CUST_123,2023-01-30 07:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01017,CUST_249,2023-02-05 17:00:00,Eggs,Groceries,2,274.75,549.5
TXN_01017,CUST_249,2023-02-05 17:00:00,Lamp,Home & Garden,1,350.58,350.58
TXN_01018,CUST_136,2023-09-28 19:00:00,Webcam,Electronics,1,446.63,446.63
TXN_01018,CUST_136,2023-09-28 19:00:00,Laptop,Electronics,1,321.52,321.52
TXN_01018,CUST_136,2023-09-28 19:00:00,Keyboard,Electronics,1,339.97,339.97
TXN_01018,CUST_136,2023-09-28 19:00:00,Mouse,Electronics,1,369.55,369.55
TXN_01019,CUST_192,2023-08-13 16:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01019,CUST_192,2023-08-13 16:00:00,T-Shirt,Clothing,1,48.03,48.03
TXN_01020,CUST_174,2023-01-11 18:00:00,Laptop,Electronics,1,321.52,321.52
TXN_01020,CUST_174,2023-01-11 18:00:00,T-Shirt,Clothing,1,48.03,48.03
TXN_01020,CUST_174,2023-01-11 18:00:00,Plant,Home & Garden,1,403.88,403.88
TXN_01020,CUST_174,2023-01-11 18:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01020,CUST_174,2023-01-11 18:00:00,Chair,Home & Garden,1,173.42,173.42
TXN_01021,CUST_031,2023-04-28 02:00:00,Headphones,Electronics,1,141.14,141.14
TXN_01021,CUST_031,2023-04-28 02:00:00,T-Shirt,Clothing,1,48.03,48.03
TXN_01021,CUST_031,2023-04-28 02:00:00,Apples,Groceries,3,114.12,342.36
TXN_01022,CUST_249,2023-04-20 17:00:00,Mug,Home & Garden,1,171.61,171.61
TXN_01022,CUST_249,2023-04-20 17:00:00,Coffee,Groceries,4,405.67,1622.68
TXN_01023,CUST_098,2023-02-18 03:00:00,Bread,Groceries,1,326.69,326.69
TXN_01023,CUST_098,2023-02-18 03:00:00,Milk,Groceries,1,103.42,103.42
TXN_01024,CUST_032,2023-07-26 23:00:00,Bread,Groceries,4,326.69,1306.76
TXN_01024,CUST_032,2023-07-26 23:00:00,Milk,Groceries,2,103.42,206.84
TXN_01025,CUST_217,2023-04-04 08:00:00,Bread,Groceries,1,326.69,326.69
TXN_01026,CUST_026,2023-11-30 17:00:00,Cushion,Home & Garden,1,478.82,478.82
TXN_01027,CUST_122,2023-03-27 13:00:00,Smartphone,Electronics,1,17.38,17.38
TXN_01027,CUST_122,2023-03-27 13:00:00,Socks,Clothing,1,18.14,18.14
TXN_01028,CUST_085,2023-07-14 00:00:00,Bread,Groceries,3,326.69,980.07
TXN_01028,CUST_085,2023-07-14 00:00:00,Mug,Home & Garden,1,171.61,171.61
TXN_01029,CUST_217,2023-12-23 23:00:00,Eggs,Groceries,3,274.75,824.25
TXN_01029,CUST_217,2023-12-23 23:00:00,Mouse,Electronics,1,369.55,369.55
TXN_01029,CUST_217,2023-12-23 23:00:00,Webcam,Electronics,1,446.63,446.63
TXN_01029,CUST_217,2023-12-23 23:00:00,Lamp,Home & Garden,1,350.58,350.58
TXN_01029,CUST_217,2023-12-23 23:00:00,Chair,Home & Garden,1,173.42,173.42
TXN_01030,CUST_112,2023-01-30 18:00:00,Table,Home & Garden,1,81.96,81.96
TXN_01031,CUST_161,2023-01-30 01:00:00,Apples,Groceries,2,114.12,228.24
